east;size;sales;investment
FALSE;7;303791;0
FALSE;5;217064;0
FALSE;6;260501;0
FALSE;33;1433637;0
FALSE;3;130392;67150
FALSE;32;1391549;145334
FALSE;14;608931;32569
FALSE;5;217842;0
FALSE;11;479388;6891
FALSE;9;392455;1984
FALSE;3;130867;0
FALSE;14;611411;0
FALSE;20;873761;49356
FALSE;32;1399790;0
FALSE;44;1925230;210406
FALSE;2;87530;0
FALSE;8;350190;0
FALSE;43;1883307;326715
FALSE;17;744761;99548
FALSE;5;219314;0
FALSE;3;131679;0
FALSE;2;87845;0
FALSE;41;1801179;38063
FALSE;9;395726;10418
FALSE;26;1143730;16748
FALSE;4;176023;0
FALSE;16;705884;0
FALSE;78;3448315;468927
FALSE;51;2255464;0
FALSE;59;2609551;15575
FALSE;12;531139;9907
FALSE;20;886326;0
FALSE;16;709502;0
FALSE;5;221802;1644
FALSE;4;177459;14139
FALSE;1;44365;0
FALSE;89;3948818;0
FALSE;1;44414;0
FALSE;6;266531;19565
FALSE;4;178128;0
FALSE;13;579725;0
FALSE;132;5886493;0
FALSE;121;5397281;0
FALSE;4;178570;0
FALSE;54;2415195;198839
FALSE;40;1790468;36920
FALSE;17;761260;18682
FALSE;1;44815;0
FALSE;79;3540970;2415766
FALSE;2;89700;0
FALSE;29;1301301;0
FALSE;35;1570707;0
FALSE;4;179599;28338
FALSE;20;898465;2179719
FALSE;5;224642;1940
FALSE;3;134854;16488
FALSE;9;404634;0
FALSE;1;44982;0
FALSE;2;90027;0
FALSE;10;450745;30239
FALSE;22;991697;0
FALSE;4;180480;183512
FALSE;69;3119132;474826
FALSE;12;543039;23425
FALSE;16;724199;1983945
FALSE;5;226316;0
FALSE;17;769816;66826
FALSE;3;135868;26504
FALSE;60;2718747;14726
FALSE;1;45317;1877
FALSE;2;90650;32294
FALSE;50;2269345;72926
FALSE;16;727705;333272
FALSE;36;1638054;0
FALSE;20;910514;0
FALSE;22;1002252;498297
FALSE;8;364936;0
FALSE;7;319417;0
FALSE;10;457171;61283
FALSE;5;228639;2103
FALSE;30;1372566;0
FALSE;10;457634;17119
